Function Name,Definition,Search Domain,Number of Local Minima,Global Minimum,Algorithm,Avg Result,Execution Time (s),Error Message
F14,Your function definition here,Your search domain,Number of minima,Global minimum,DA,13.23513018543972,0.44161152839660645,
F14,Your function definition here,Your search domain,Number of minima,Global minimum,SSA,12.670505811135852,0.1605982780456543,
F14,Your function definition here,Your search domain,Number of minima,Global minimum,WOA,N/A,N/A,too many values to unpack (expected 2)
F14,Your function definition here,Your search domain,Number of minima,Global minimum,MPA,N/A,N/A,too many values to unpack (expected 2)
F15,Your function definition here,Your search domain,Number of minima,Global minimum,PCO,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,Your function definition here,Your search domain,Number of minima,Global minimum,GA,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,Your function definition here,Your search domain,Number of minima,Global minimum,PSO,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,Your function definition here,Your search domain,Number of minima,Global minimum,SA,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,Your function definition here,Your search domain,Number of minima,Global minimum,GOA,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,Your function definition here,Your search domain,Number of minima,Global minimum,DA,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,Your function definition here,Your search domain,Number of minima,Global minimum,SSA,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,Your function definition here,Your search domain,Number of minima,Global minimum,WOA,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,Your function definition here,Your search domain,Number of minima,Global minimum,MPA,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F16,Your function definition here,Your search domain,Number of minima,Global minimum,PCO,-1.0316246849944952,0.5585634708404541,
F16,Your function definition here,Your search domain,Number of minima,Global minimum,GA,0.692839842539562,0.2778198719024658,
F16,Your function definition here,Your search domain,Number of minima,Global minimum,PSO,-1.0316284534898776,0.01606297492980957,
F16,Your function definition here,Your search domain,Number of minima,Global minimum,SA,0.3739583333333334,0.002212047576904297,
